SERIAL,POSTCODE_2021,latitude_o,longitude_o,D3_2021
204249570,GL1,51.8593662,-2.2437389,2
204249596,EX18,50.9020189,-3.8876032,2
204253032,NE11,54.9399167,-1.6358329,2
204253666,BB2,53.7416815,-2.5018572,2
204253992,HU9,53.7560073,-0.289433,2
204255737,BA1,51.3927912,-2.3611374,2
204255808,OL5,53.5180411,-2.0385356,2
204256947,NE1,54.972442,-1.6115224,2
204259207,ST18,52.8150827,-2.0806107,2
204259285,L15,53.3975793,-2.9205924,2
204259313,LU3,51.9086465,-0.4426142,2
204259368,OX29,51.7940797,-1.435656,2
204259600,SW18,51.4512533,-0.191462,1
204260974,E13,51.5278271,0.0267009,2
204260978,SE8,51.4819486,-0.0294902,2
204261121,KT1,51.4074987,-0.2982129,2
204261594,RG17,51.4435994,-1.5030377,1
204261989,GU46,51.3385812,-0.8320474,2
204262547,S63,53.5185718,-1.3305698,2
204262580,DN14,53.7086376,-0.9413185,2
204263721,EC1V,51.5268168,-0.0978016,2
204263968,HR9,51.9077349,-2.5827297,1
204264891,SW18,51.4512533,-0.191462,2
204265027,PO6,50.846598,-1.0700466,2
204265408,N6,51.5731718,-0.1460635,2
204267825,EH46,55.7404828,-3.3566775,2
204268274,PA12,55.7942177,-4.6265019,2
204268350,ML1,55.7990265,-3.9750481,2
204268954,PH10,56.6069517,-3.3593082,2
204269724,G5,55.8479394,-4.252235,1
204270304,LL12,53.0875778,-2.9891854,2
204270649,CF47,51.7515033,-3.3750262,2
204270690,LL49,52.9290448,-4.1379154,2
204270807,SY16,52.5206495,-3.3122813,2
204271372,SA11,51.6748529,-3.7614044,1
204271379,NP44,51.6512296,-3.0279524,1
204272091,CF3,51.5203429,-3.1110728,2
204272784,CF15,51.5333849,-3.271715,2
204276870,SA18,51.7977271,-3.9609347,1
204276974,SA31,51.8567444,-4.3082937,2
204277353,SE16,51.4965989,-0.053091,2
204279050,PE32,52.7278429,0.6349892,1
204279128,B44,52.5456674,-1.8850992,1
204279731,M16,53.4551078,-2.2645745,2
204280902,CH2,53.2178821,-2.8689752,2
204281460,PO10,50.8522374,-0.9293902,2
204281506,W5,51.5131903,-0.3024217,2
204281826,CF64,51.4332091,-3.1917807,2
204282865,BS14,51.412973,-2.5632222,2
204283027,CM1,51.7467319,0.4577894,2
204283139,PO15,50.8676994,-1.2281695,2
204284118,CB6,52.4046657,0.2216208,2
204284624,OL3,53.5535469,-2.0115057,2
204285729,M17,53.4680132,-2.3205539,1
204286623,NP4,51.7193671,-3.0470946,2
204286811,M9,53.5220075,-2.2139408,1
204287469,PE8,52.5217429,-0.4539945,1
204288406,B44,52.5456674,-1.8850992,2
204288779,M41,53.4509537,-2.3655029,2
204292751,NP12,51.6691612,-3.1979409,1
204295481,W1K,51.5111191,-0.1510369,2
204295762,EH2,55.9522871,-3.2022387,1
204296712,CT6,51.3644106,1.1295235,2
